MODEL,AVERAGE,SD,COUNT
LR,6.8923222101755215,2.667746189522847,14
NB,0.8868588657114221,9.724432477209223e-08,1
DT,1.1940384272979019,1.061762715974061,72
RF,14.832307135095984,1.0498713794763586,24
